feature,importance
CYP4F3,0.060436047159167006
FEM1A,0.06033580543365063
PRPF31,0.04598457895006884
INPP5A,0.04439846679221678
CDK9,0.042890445047454165
NDUFA4L2,0.04001566276931328
CLC,0.038265311325936066
MDP1,0.036579585486361685
S100A6,0.028590838985575826
BCAT2,0.02836612700165332
RP4-595K12.1,0.027835651954401953
GYPC,0.024662578937411226
YIF1B,0.023325096277278565
PIN1,0.020627734480225462
SELM,0.019899891848905005
STUB1,0.01932292925098158
DNM3,0.01882459089132332
SAFB,0.01806808182907084
S100A12,0.017452358752358753
UBE2S,0.01663074357822165
ETS1,0.016540723545657755
PHPT1,0.01643035889242335
BMP7,0.01549802805379096
DOCK1,0.014525169061180142
S100A4,0.014419862314146851
RAD23B,0.01414345034551482
NDUFB7,0.013686955571650151
DHRS9,0.013492721861471862
DRAP1,0.012182257501083413
PTRF,0.011589976419244712
CALM1,0.010334682211299155
CMTM2,0.01
DEDD,0.009863304093567253
UBE2M,0.009822153752241635
TRA2A,0.00921371103717595
ACLY,0.009114983726284036
MS4A2,0.009114583333333334
FXN,0.008836309523809524
OSER1-AS1,0.008534903765708719
SUDS3,0.00816757436879388
CXCR2,0.0076388888888888895
EVI2B,0.007326459034792371
CS,0.006823563823563821
PROK2,0.006545478659271763
CA4,0.006518556005398112
MCOLN1,0.006458333333333333
MIR4680,0.005860143707383758
PGAP2,0.005520448307538551
age,0.0053760957691163635
AMFR,0.0045797480942829805
LOC100996517,0.004174393450140026
RPN1,0.004107552128064948
CNN3,0.003477599323753171
NEURL1B,0.003394110549282964
TPSAB1,0.003294647140800988
PKN1,0.0029586021149668627
CCSAP,0.002636278195488721
LMAN2,0.002580897223754366
FAM65B,0.0025185185185185185
TOMM22,0.002436673337974243
NAIP,0.0024305105713000453
PKDCC,0.002399855212355212
S100A9,0.0023693379790940767
TEAD2,0.00234712104937669
RPL3L,0.0022079447632711623
ALYREF,0.002207792207792208
LRRC75A-AS1,0.002207792207792208
CTDNEP1,0.0017692523962766868
NUTF2,0.0016865079365079368
FCER1G,0.0016622878161339694
NRBP1,0.001619047619047619
P4HA1,0.0016082877381707861
ACTB,0.0015135135135135134
C1QC,0.0014192949907235622
HCST,0.0013170823885109593
TMEM88,0.0011285885167464102
TPSB2,0.0010793650793650788
FCGR3B,0.0009189189189189192
S100A8,0.0009189189189189192
PCBP2,0.0008854166666666666
TSR3,0.0008693181818181816
LOC100996696,0.0008292682926829269
RXRG,0.0008173076923076923
NCF2,0.0006563706563706563
SERPINA1,0.00041319444444444444
TTLL1,0.00030227596017069617
LSM4,0.00016420454545454448
AMICA1,0.0
LOC101930301,0.0
NEIL2,0.0
TYROBP,0.0
CD300LG,0.0
GNB1,0.0
MS4A4A,0.0
LSM2,0.0
FCN1,0.0
ANXA6,0.0
MNDA,0.0
DEXI,0.0
GLUL,0.0
GFI1,0.0
gender,0.0
