gene,score
STUB1,55.76637381345537
NCF2,49.55013395252615
S100A12,47.465451634403635
RAD23B,45.52362399097364
CXCR2,43.28359217694836
CLC,43.12402715611275
UBE2M,42.75233199872691
S100A6,40.94033845858708
NEIL2,40.50061688109724
DOCK1,40.32711960176864
PRPF31,40.20175636843788
S100A4,39.425456729231925
ALYREF,38.511817398382874
CTDNEP1,37.982262408065445
RPN1,37.852565844606
GYPC,37.69796493282192
DRAP1,37.45054258762984
SERPINA1,36.94824835719245
DEDD,36.886150837141756
NDUFB7,36.30154497616599
S100A8,35.918236396882186
PIN1,35.516671409617125
SELM,35.511767855490156
MCOLN1,35.29229006650851
NEURL1B,35.19750136629648
CA4,34.282186860282565
S100A9,34.22531120613155
ANXA6,34.160195733353575
LOC100996517,34.11098895537635
C1QC,33.99628170844379
FEM1A,33.61601958351257
UBE2S,33.54619095960829
TMEM88,32.48997372216528
BCAT2,32.32258024527045
MS4A4A,31.991610719084154
NRBP1,31.69651038890906
PROK2,31.67918440226182
LMAN2,31.622087625818146
NDUFA4L2,31.583531479474008
TPSB2,31.479513395576667
NAIP,31.260220723497948
P4HA1,30.92298526886541
RPL3L,30.85783605974872
GFI1,30.852011375773213
NUTF2,30.82517971062469
AMFR,30.791367084059203
TPSAB1,30.77204537850282
INPP5A,30.66917495592756
FCER1G,30.658965786132217
LSM4,30.571977677873907
PKDCC,30.545587886610907
CDK9,30.514082784022474
TTLL1,30.36646532639747
MNDA,30.286964713765897
MS4A2,30.13811081210925
ETS1,29.927197941125524
CALM1,29.303010975599896
TSR3,29.273148192093764
CCSAP,29.2325665282551
TYROBP,29.07138036829365
LRRC75A-AS1,29.051056546767136
DHRS9,28.991906099536255
CNN3,28.921537568078165
PTRF,28.755890926526437
GNB1,28.44320759286237
SUDS3,28.409173205840045
ACTB,28.103443912832898
CMTM2,28.10317772626853
RP4-595K12.1,28.052457643572026
FAM65B,27.94615049659903
PGAP2,27.791560311838428
PCBP2,27.74193153836956
