feature,score
STUB1,55.76637381345678
NCF2,49.55013395252722
S100A12,47.46545163440383
RAD23B,45.52362399096834
CXCR2,43.283592176948844
CLC,43.12402715611174
UBE2M,42.752331998729794
S100A6,40.940338458575894
NEIL2,40.50061688110206
DOCK1,40.32711960176816
PRPF31,40.20175636843189
S100A4,39.42545672923195
ALYREF,38.511817398383634
CTDNEP1,37.982262408063086
RPN1,37.852565844604335
GYPC,37.69796493281573
DRAP1,37.45054258763414
SERPINA1,36.94824835719304
DEDD,36.886150837141024
NDUFB7,36.30154497616273
S100A8,35.91823639688116
PIN1,35.51667140960194
SELM,35.511767855491726
MCOLN1,35.292290066509615
NEURL1B,35.19750136628763
CA4,34.28218686028316
S100A9,34.225311206129945
ANXA6,34.16019573334501
LOC100996517,34.11098895537775
C1QC,33.99628170844561
FEM1A,33.61601958350521
UBE2S,33.54619095960874
TMEM88,32.489973722161615
BCAT2,32.32258024526479
MS4A4A,31.991610719085898
NRBP1,31.696510388904816
PROK2,31.679184402261694
LMAN2,31.62208762581164
NDUFA4L2,31.583531479477934
TPSB2,31.479513395575008
NAIP,31.260220723497444
P4HA1,30.922985268866938
RPL3L,30.857836059747836
GFI1,30.852011375773476
NUTF2,30.825179710625857
AMFR,30.791367084058756
TPSAB1,30.77204537850631
INPP5A,30.66917495592763
FCER1G,30.658965786132597
LSM4,30.57197767787361
PKDCC,30.545587886611916
CDK9,30.514082784022733
TTLL1,30.366465326396504
MNDA,30.28696471376621
MS4A2,30.138110812107747
ETS1,29.927197941125744
CALM1,29.303010975603417
TSR3,29.273148192092602
CCSAP,29.232566528255465
TYROBP,29.071380368295955
LRRC75A-AS1,29.051056546766777
DHRS9,28.991906099534035
CNN3,28.921537568078687
PTRF,28.75589092652933
GNB1,28.443207592861267
SUDS3,28.409173205842006
ACTB,28.103443912824087
CMTM2,28.103177726267678
RP4-595K12.1,28.05245764357296
FAM65B,27.946150496598975
PGAP2,27.791560311838403
PCBP2,27.741931538371666
RXRG,27.728885777737027
MDP1,27.71697387152416
PHPT1,27.614299252324088
PKN1,27.460713345604056
FXN,27.450847135395314
HCST,27.382341826612837
MIR4680,27.3198548402493
FCGR3B,27.301458338964977
GLUL,27.19108157305656
YIF1B,27.158051259155158
CS,27.137911664319972
BMP7,27.054144412193654
CYP4F3,26.96403790973261
AMICA1,26.914904428440938
LSM2,26.682427414996074
TOMM22,26.66425798532034
ACLY,26.661202723881825
EVI2B,26.62595023943588
LOC101930301,26.593374895026955
TEAD2,26.442574504355143
FCN1,26.157415844639345
CD300LG,26.103457035113973
DEXI,25.993783479038342
SAFB,25.962427376755574
OSER1-AS1,25.83178896865148
TRA2A,25.7566817765747
LOC100996696,25.714383241283944
DNM3,25.710971271728788
KIF26A,25.51193754759642
IGFBP2,25.434312394629966
RPL41,25.432094569615607
SMS,25.347627350466162
DNAJB1,25.338724516597733
CD97,25.264455203472806
P2RY13,25.22549344703037
PDE6D,25.09316359919141
RAB8A,25.056286480290137
ND4,25.030058842007165
C1orf54,25.015863303308734
STK40,24.99039050855435
HSPB7,24.933593561048472
ZNF706,24.883508747319322
EIF3I,24.875176353577142
FAM66C,24.860160531105958
ARID1A,24.8558416948795
PLXNC1,24.752331079203493
KLF2,24.715796699590186
DAPK3,24.689281973640547
MED16,24.611707308645016
CXCR4,24.40828342231437
PPP1R3C,24.35145562376353
LOC101928521,24.343063340540123
HMGB1,24.294343160533124
COX5B,24.257438252991452
EXOSC6,24.230325769839364
ZNF160,24.107024117938288
PSMB8-AS1,24.08891901341112
TAF12,24.00340473070996
ILF2,23.97275743921621
DNER,23.92410323833227
IDH3A,23.889893448561597
YWHAZ,23.857127123224895
PGF,23.853737756182454
CASP1,23.84318292097622
MIR1244-3,23.80834415682476
ALG1,23.738170099173878
RPL39L,23.729000305509263
RBBP4,23.655687094528076
RP11-65D24.2,23.417285113130706
IFI6,23.36693708314996
TMEM256,23.36572158341136
PTP4A1,23.352337027569092
HSPB1,23.274033381192815
LSP1,23.215197154732536
TNFSF12,23.12654351115452
COX2,23.094934898934273
STX10,23.086533008774097
POLR2E,23.075514557437174
COPE,23.059297435794477
TMEM72,23.01353624918608
NDUFV3,23.006403797033848
CCDC67,22.948671040524047
S100A11,22.94792091821731
FCGR3A,22.881111941029474
NAPSB,22.87565975247322
CST3,22.830832549469466
SUMO3,22.807636990741905
KCNV1,22.772896070467535
LAMP1,22.706465038714644
KIAA0430,22.67553860734735
IFNGR2,22.59606255401946
ZNF490,22.585278848720545
MAGEB3,22.557673077407756
GAPT,22.533831750461484
DNM1L,22.45278996472569
NPC2,22.44768544950729
NDUFA11,22.4421234985769
DBNDD2,22.405410704417715
PACSIN3,22.32937039754596
KCNE3,22.295355489498725
CRIP2,22.265456581891705
FMR1,22.13043320393419
QTRT1,22.104511347775542
APOE,22.095707005618344
ITGB2,21.97521128236542
TRIM16,21.965478432780472
EPB41L2,21.95777401325096
CD37,21.95220653849237
CARM1,21.84520746831772
TNNT3,21.808348662944855
CDK8,21.767199368463515
ANP32B,21.734635911110054
CSF2RA,21.731594066762014
SAMD12,21.726401851760183
SFXN1,21.68350487575489
ATP6,21.677227860024253
RPL23,21.61878985842298
GIMAP1,21.614362851377823
NQO2,21.554542470278914
LOC100996634,21.5084084847096
FLYWCH2,21.49988425155572
TMSB4X,21.484989472557928
ABHD17A,21.474991990544286
GNA11,21.471252973472406
GPSM3,21.471069695763017
CTDSPL2,21.469672128295517
CTSW,21.425535570408094
BAG4,21.425290687739217
NFASC,21.397185531733168
CDH5,21.324477271275715
MIR7110,21.287002670520078
SEC13,21.276810323215678
AQP2,21.24170624085269
CSNK1D,21.21530361862203
NSFL1C,21.21220288987136
RTN3,21.182056726775617
METRN,21.157301725295184
BSG,21.15667991489588
CD44,21.14582505019395
CENPJ,21.13856157578792
UBE4B,21.12928151209887
TM6SF1,21.1152944717076
